total_time adv_vel_time diffuse_time adv_part_time
0.223975 0.00260539 0.00247021 0.00105638
0.73911 0.00113825 0.0552584 0.00130215
0.759682 0.00118578 0.0556627 0.00107861
0.75263 0.0012482 0.0564328 0.0010403
0.287116 0.00111858 0.0024302 0.000913176
0.180071 0.00111384 0.0017221 0.00089683
0.184413 0.00117873 0.00175364 0.00105405
0.182709 0.000920884 0.00181486 0.000911365
0.18261 0.00111662 0.00187249 0.00090764
0.182532 0.000995816 0.00172516 0.00103857
0.182949 0.000946123 0.00171898 0.000950016
0.183921 0.000965387 0.00196993 0.000961465
0.181924 0.000988079 0.00172192 0.0008709
0.180403 0.000996701 0.00167877 0.000994683
0.182134 0.000946887 0.0017221 0.000901559
0.182151 0.000945491 0.00174672 0.000898032
0.182009 0.000998125 0.00186451 0.000870328
0.183146 0.00122889 0.0017728 0.000957449
0.18215 0.00094742 0.00171739 0.00088231
0.183244 0.000994592 0.00188739 0.000869636
0.179569 0.00121078 0.00172175 0.000892739
0.181409 0.000956563 0.00172002 0.000891492
0.182735 0.00111415 0.00190211 0.000873297
0.18314 0.000998473 0.00172018 0.00103421
0.18299 0.00103647 0.00172001 0.000877244
0.183115 0.00107216 0.00194081 0.000894766
0.182254 0.000958372 0.00172446 0.00104787
0.183154 0.000992649 0.00167881 0.0009049
0.182565 0.000966866 0.00196336 0.000913773
0.18225 0.000955726 0.00172133 0.00102898
0.183103 0.000995383 0.00171846 0.000891836
0.182729 0.00110663 0.00193659 0.000892923
0.182534 0.00100792 0.00172157 0.00103255
0.182655 0.00103615 0.0017238 0.000912002
0.182349 0.000990592 0.00197335 0.000911135
0.182387 0.00100118 0.00172354 0.00106447
0.182288 0.000948234 0.00171875 0.000992094
0.182985 0.000997209 0.00174864 0.000888845
0.18314 0.00123531 0.00172349 0.000988455
0.183021 0.00102943 0.00171814 0.000907347
0.182763 0.000962884 0.00192886 0.000918782
0.182375 0.00110859 0.00181223 0.000943657
0.182788 0.00095395 0.0017179 0.000964324
0.182939 0.000997653 0.00177548 0.000899823
0.182986 0.00128301 0.00181279 0.00100215
0.182989 0.00107149 0.00171864 0.000894648
0.18297 0.000995185 0.00186822 0.000936361
0.182923 0.00115395 0.00176741 0.00106741
0.182291 0.000955118 0.00172302 0.0010501
0.183145 0.000997579 0.00172809 0.000897197
0.183222 0.0011761 0.00175816 0.00104452
0.182682 0.00100732 0.00172254 0.000924232
0.182368 0.000958074 0.00173468 0.000907062
0.183823 0.00115083 0.0017264 0.00111212
0.182634 0.00099143 0.00172149 0.000932021
0.182778 0.00095138 0.00182261 0.000933357
0.182772 0.00111581 0.00171176 0.00103621
0.182916 0.000945809 0.00171815 0.000955931
0.183726 0.00109512 0.00195997 0.000957497
0.182623 0.00100468 0.00172257 0.00103895
0.18695 0.000965327 0.0017251 0.00107308
0.182768 0.000954861 0.00172402 0.000929315
0.183097 0.000957652 0.00188589 0.000933734
0.182703 0.00103297 0.0017308 0.0011019
0.182608 0.000948126 0.00172352 0.00101756
0.179296 0.00128196 0.00172235 0.000917136
0.176993 0.000992184 0.00168449 0.000911296
0.176943 0.000959802 0.00168484 0.000906963
0.176663 0.000972339 0.00168051 0.000911618
0.177716 0.000963036 0.00167453 0.000940536
0.176941 0.000963014 0.00168477 0.000954361
0.177412 0.000964093 0.0016853 0.000907613
0.17678 0.0010356 0.00168133 0.000912948
0.179614 0.00104342 0.00168057 0.000904872
0.183451 0.0011462 0.00179359 0.00104516
0.183547 0.00104732 0.00171968 0.000932517
0.183125 0.000946423 0.00194 0.000956273
0.183806 0.0010136 0.00172171 0.000926849
0.183407 0.000975516 0.00203663 0.000951641
0.182706 0.00104255 0.00173603 0.00108461
0.183136 0.000932768 0.00172266 0.000930221
0.183274 0.000997965 0.00197538 0.000957334
0.183036 0.000949256 0.00172236 0.00102253
0.18303 0.000948738 0.00172222 0.00106766
0.183616 0.00114067 0.00181567 0.00104031
0.184118 0.000992353 0.00168072 0.000956105
0.183082 0.000990862 0.00196892 0.000963174
0.182753 0.000955514 0.00172253 0.00104529
0.182842 0.000949124 0.00171836 0.000937996
0.183779 0.00110614 0.00184097 0.00104647
0.182492 0.000956607 0.00172647 0.00100719
0.183471 0.00101917 0.00213084 0.000963237
0.182382 0.000991116 0.0018155 0.00101528
0.182606 0.000947582 0.00172178 0.000967612
0.182555 0.000956449 0.00172142 0.000939095
0.183539 0.00109387 0.00188774 0.00106877
0.183061 0.000927588 0.00172192 0.000943759
0.183279 0.000971497 0.00189921 0.00105805
0.182988 0.00105386 0.00171823 0.00114956
0.182764 0.000947319 0.00172696 0.000966879
